id,name,niche,country,city,website,email,phone,channel,site_quality,pitch_angle,status,notes
lead-01,New Lahore Real Estate,Real Estate,Pakistan,Lahore,https://newlahorerealestate.com/,,,phone-first (no email found),dated - old SEO-heavy design no clear mobile signals,Website redesign + SEO refresh + logo polish,sourced,No email found - needs phone/WhatsApp outreach
lead-02,RA Real Estate & Developers,Real Estate,Pakistan,Lahore,https://raestate.pk/,RAestatee@gmail.com,0300-1753888,email,modern site already,CRM + AI chatbot for instant lead follow-up (property inquiries),audited,Gmail draft ready - awaiting approval to send
lead-03,Titanium Agency,Real Estate,Pakistan,Lahore,https://titaniumagency.com.pk/,query@titaniumagency.com.pk,0311-1199-789,email,modern site already,CRM/automation for lead follow-up + WhatsApp AI assistant,audited,Gmail draft ready - awaiting approval to send
lead-04,Elegant Properties,Real Estate,Pakistan,Lahore,https://elegantdha.com/,info@elegantdha.com,0321-4813092,email,modern site already,CRM automation to reduce reliance on manual chat agent,audited,Gmail draft ready - awaiting approval to send
lead-05,Atmosphere Fitness,Gym/Fitness,Pakistan,Karachi,https://atmosphere.com.pk/,info@atmosphere.com.pk,+92 3370363889,email,modern site already,Member CRM + automated renewal/attendance reminders,audited,Gmail draft ready - awaiting approval to send
lead-06,VelocityX Fitness Gym,Gym/Fitness,Pakistan,Karachi,https://velocityx.com/,info@velocityx.com,0213-4550068,email,modern site already,Member CRM + AI chat assistant for inquiries,audited,Gmail draft ready - awaiting approval to send
lead-07,Ferooz Collection,Boutique/Clothing,Pakistan,Lahore,,,+923444139786,whatsapp (no email/website found),no website found,New website + logo/brand identity + Instagram-to-site funnel,sourced,No email found - needs phone/WhatsApp outreach
lead-08,Kaneez Dess Co,Boutique/Clothing,Pakistan,Lahore,,,+923008853777,whatsapp (no email/website found),no website found,New website + logo/brand identity + Instagram-to-site funnel,sourced,No email found - needs phone/WhatsApp outreach
lead-09,Carrboro Plumbing,Plumbing/Home Services,USA,"Carrboro, NC",https://www.carrboroplumbing.com/,,,website-form (no email found - placeholder phone visible),very dated - live site still shows template placeholder text,Full website rebuild + real branding + SEO (site currently looks broken/unfinished),sourced,No email found - needs phone/WhatsApp outreach
lead-10,Fisher Family Plumbing,Plumbing/Home Services,USA,"Spring/Porter, TX",https://fisherfamilyplumbing.com/,office@fisherfamilyplumbing.com,(832) 844-7200,email,modern site already,CRM automation + AI chat assistant for booking/emergency requests,audited,Gmail draft ready - awaiting approval to send
lead-11,Your Hometown Plumber,Plumbing/Home Services,USA,"Columbus, NC",https://hometownplumbinganddrain.com/,office@yourhometownplumbernc.com,(828) 825-3555,email,modern site already,CRM + automated follow-up for free-estimate requests,audited,Gmail draft ready - awaiting approval to send
lead-12,Independence Dental,Dental Clinic,USA,"Independence, KS",https://www.independenceksdentist.com/,,(620) 331-4499,phone-first (no email found - Wix contact form only),modern site already (Wix),CRM + automated appointment reminders / AI chat assistant,sourced,No email found - needs phone/WhatsApp outreach
lead-13,Real Estate Pros FL (Jose Perez),Real Estate,USA,"Winter Springs/Orlando, FL",https://www.reprosfl.com/,Jose.Perez1@cbrealty.com,407-381-7861,email,modern site already,CRM + AI chatbot for instant buyer/seller inquiry response,audited,Gmail draft ready - awaiting approval to send
lead-14,Old Town Plumbing LLC,Plumbing/Home Services,USA,"Huntsville, AL",http://oldtownplumbing.org/,oldtownplumbingllc@yahoo.com,256-665-3563,email,dated - basic 2019 Wix template,Website redesign + modern logo + SEO refresh,audited,Gmail draft ready - awaiting approval to send
